uplink,downlink,uplink rate,downlink rate,IP address,time,session id
326496069.0,1114463689.0,85.0,156.0,78.78.162.49,1439418300000,150344511
326496152.0,1114463840.0,84.0,152.0,78.78.162.49,1439418306000,150344511
